127 2.84878 1.10255 1.37953
128 6.18435 1.103 1.4235
129 6.37787 1.15994 1.50817
255 7.32451 0.968418 2.11005
256 7.41204 0.763001 1.43275
257 3.0108 0.941007 1.43504
383 4.44556 0.500167 1.62132
384 14.6246 0.650069 1.71821
385 12.7016 0.798401 1.47855
511 9.97339 0.428856 1.62553
512 11.4717 0.407802 1.38905
513 10.7688 0.509417 1.17533
639 6.16475 0.394502 1.12523
640 10.3816 0.619756 1.57175
641 4.85691 0.389054 1.47786
767 5.4964 0.297357 0.869822
768 6.9631 0.447446 1.35447
769 4.94172 0.355891 1.23253
895 3.14348 0.260308 1.05644
896 5.44278 0.419555 1.11012
897 6.92952 0.267816 0.959315
1023 4.98249 0.282677 1.29729
1024 5.73859 0.162956 1.15956
1025 3.9837 0.276331 1.35321
